frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
2371.373705661655,14899.78042524532,1.2999980904355168e-09,8.000039416524338e-13,6.577285573532327e-08,2.7911858002643562e-09,6.707285382575879e-08,2.7919858042060086e-09,0.0009629615484707532,5.925955123351362e-07,0.04872063387801724,0.0020675450372328566,0.049683595426487995,0.0020681376327451916,0.09268359542648799,0.0020786866772862654
3162.2776601683795,19869.176531592202,1.2999989261535376e-09,5.9992163687051e-13,6.615190098296938e-08,2.404342944033099e-09,6.745189990912292e-08,2.404942865669969e-09,0.000962962167521139,4.443863976818593e-07,0.04900140813553287,0.001780994773357851,0.04996437030305401,0.001781439159755533,0.09296437030305402,0.0017955065367399002
4216.965034285822,26495.97274431474,1.299999396125609e-09,4.4987915894315085e-13,6.64715611682319e-08,2.0745493645001724e-09,6.777156056435751e-08,2.0749992436591156e-09,0.0009629625156485993,3.33243821439371e-07,0.04923819345794956,0.0015367032329630908,0.05020115597359816,0.0015370364767845301,0.09320115597359815,0.001555795625487505
5623.413251903491,35332.94752055899,1.2999996604145306e-09,3.373623654875269e-13,6.674640534018825e-08,1.7942608923224442e-09,6.804640500060278e-08,1.7945982546879318e-09,0.0009629627114181708,2.498980485092792e-07,0.04944178173347278,0.00132908214246107,0.05040474444489095,0.001329332040509579,0.09340474444489094,0.001354347767354135
7498.942093324558,47117.24278016739,1.2999998090364424e-09,2.5298633283435513e-13,6.698559473956101e-08,1.5540850085183632e-09,6.828559454859745e-08,1.5543379948511975e-09,0.0009629628215084759,1.8739728358100382e-07,0.04961895906634149,0.001151174080383973,0.05058192188784996,0.0011513614776675538,0.09358192188784996,0.0011847204855559123
10000.0,62831.853071795864,1.2999998926131055e-09,1.8971309082892264e-13,6.719391694535844e-08,1.3463486493284456e-09,6.849391683797154e-08,1.3465383624192745e-09,0.0009629628834171152,1.405282154288316e-07,0.04977327181137662,0.0009972952957988486,0.050736234694793735,0.0009974358240142775,0.09373623469479372,0.001041920775989109
13335.21432163324,83787.62269377676,1.2999999396118498e-09,1.4226479243959292e-13,6.73746206592211e-08,1.1660985432465785e-09,6.867462059883295e-08,1.166240808039018e-09,0.000962962918231,1.0538132773303179e-07,0.049907126414237855,0.0008637766987011693,0.05087008933246886,0.0008638820800289023,0.09387008933246885,0.0009232037168960962
17782.794100389227,111732.59061216541,1.2999999660412283e-09,1.066835626781802e-13,6.753103889537496e-08,1.0098670110439154e-09,6.883103886141618e-08,1.0099736946065937e-09,0.0009629629378083173,7.902486124309645e-08,0.05002299177435183,0.0007480496378103078,0.050985954712160136,0.0007481286626715509,0.09398595471216013,0.000827235336824964
23713.737056616552,148997.8042524532,1.299999980903573e-09,8.000139374200767e-14,6.766646388500333e-08,8.745736038200601e-10,6.89664638659069e-08,8.746536052138021e-10,0.0009629629488174615,5.9260291660746427e-08,0.05012330658148396,0.0006478322991259705,0.05108626953030141,0.0006478915594176312,0.09408626953030141,0.0007533820048283681
31622.776601683792,198691.765315922,1.299999989261288e-09,5.999258521964013e-14,6.778374636265284e-08,7.574038622647442e-10,6.908374635191412e-08,7.574638548499639e-10,0.0009629629550083616,4.443895201454825e-08,0.05021018249085396,0.0005610398979738846,0.051173145445862316,0.0005610843369258992,0.0941731454458623,0.0007017581067695719
